@ 0.00,9.25,9.25,9.25,9.25,9.25,35.2,100.06,74.12,61.14,61.14,61.14,61.14,61.14,74.12,74.12,87.09,100.06,87.09,48.17,48.17,35.2,35.2,35.2,22.23
@ 0.05,8.99,8.99,8.99,8.99,8.99,34.41,97.97,72.55,59.84,59.84,59.84,59.84,59.84,72.55,72.55,85.26,97.97,85.26,47.13,47.13,34.41,34.41,34.41,21.7
@ 0.10,8.73,8.73,8.73,8.73,8.73,33.62,95.85,70.96,58.51,58.51,58.51,58.51,58.51,70.96,70.96,83.41,95.85,83.41,46.07,46.07,33.62,33.62,33.62,21.18
@ 0.15,8.46,8.46,8.46,8.46,8.46,32.81,93.69,69.34,57.16,57.16,57.16,57.16,57.16,69.34,69.34,81.51,93.69,81.51,44.99,44.99,32.81,32.81,32.81,20.63
@ 0.20,8.18,8.18,8.18,8.18,8.18,31.97,91.45,67.66,55.76,55.76,55.76,55.76,55.76,67.66,67.66,79.56,91.45,79.56,43.87,43.87,31.97,31.97,31.97,20.08
@ 0.25,7.89,7.89,7.89,7.89,7.89,31.1,89.12,65.91,54.31,54.31,54.31,54.31,54.31,65.91,65.91,77.52,89.12,77.52,42.7,42.7,31.1,31.1,31.1,19.49
@ 0.30,7.58,7.58,7.58,7.58,7.58,30.18,86.67,64.07,52.77,52.77,52.77,52.77,52.77,64.07,64.07,75.37,86.67,75.37,41.47,41.47,30.18,30.18,30.18,18.88
@ 0.35,7.26,7.26,7.26,7.26,7.26,29.2,84.07,62.12,51.15,51.15,51.15,51.15,51.15,62.12,62.12,73.09,84.07,73.09,40.18,40.18,29.2,29.2,29.2,18.23
@ 0.40,6.91,6.91,6.91,6.91,6.91,28.16,81.3,60.05,49.42,49.42,49.42,49.42,49.42,60.05,60.05,70.67,81.3,70.67,38.79,38.79,28.16,28.16,28.16,17.54
@ 0.45,6.54,6.54,6.54,6.54,6.54,27.05,78.34,57.82,47.57,47.57,47.57,47.57,47.57,57.82,57.82,68.08,78.34,68.08,37.31,37.31,27.05,27.05,27.05,16.8
@ 0.50,6.14,6.14,6.14,6.14,6.14,25.86,75.16,55.44,45.58,45.58,45.58,45.58,45.58,55.44,55.44,65.3,75.16,65.3,35.72,35.72,25.86,25.86,25.86,16
@ 0.55,5.71,5.71,5.71,5.71,5.71,24.58,71.74,52.87,43.44,43.44,43.44,43.44,43.44,52.87,52.87,62.31,71.74,62.31,34.01,34.01,24.58,24.58,24.58,15.15
@ 0.60,5.25,5.25,5.25,5.25,5.25,23.2,68.05,50.11,41.14,41.14,41.14,41.14,41.14,50.11,50.11,59.08,68.05,59.08,32.17,32.17,23.2,23.2,23.2,14.22
@ 0.65,4.76,4.76,4.76,4.76,4.76,21.7,64.07,47.12,38.65,38.65,38.65,38.65,38.65,47.12,47.12,55.6,64.07,55.6,30.18,30.18,21.7,21.7,21.7,13.23
@ 0.70,4.22,4.22,4.22,4.22,4.22,20.09,59.78,43.91,35.97,35.97,35.97,35.97,35.97,43.91,43.91,51.84,59.78,51.84,28.03,28.03,20.09,20.09,20.09,12.16
@ 0.75,3.64,3.64,3.64,3.64,3.64,18.36,55.15,40.43,33.07,33.07,33.07,33.07,33.07,40.43,40.43,47.79,55.15,47.79,25.72,25.72,18.36,18.36,18.36,11
@ 0.80,3.02,3.02,3.02,3.02,3.02,16.48,50.16,36.69,29.95,29.95,29.95,29.95,29.95,36.69,36.69,43.42,50.16,43.42,23.22,23.22,16.48,16.48,16.48,9.75
@ 0.85,2.34,2.34,2.34,2.34,2.34,14.47,44.77,32.65,26.59,26.59,26.59,26.59,26.59,32.65,32.65,38.71,44.77,38.71,20.53,20.53,14.47,14.47,14.47,8.41
@ 0.90,1.62,1.62,1.62,1.62,1.62,12.3,38.98,28.31,22.97,22.97,22.97,22.97,22.97,28.31,28.31,33.65,38.98,33.65,17.63,17.63,12.3,12.3,12.3,6.96
@ 0.95,0.84,0.84,0.84,0.84,0.84,9.96,32.76,23.64,19.08,19.08,19.08,19.08,19.08,23.64,23.64,28.2,32.76,28.2,14.52,14.52,9.96,9.96,9.96,5.4
@ 1.00,0.01,0.01,0.01,0.01,0.01,7.45,26.07,18.62,14.9,14.9,14.9,14.9,14.9,18.62,18.62,22.35,26.07,22.35,11.18,11.18,7.45,7.45,7.45,3.73
